"title","channel","url","type","linked_to","transcription","likes","comments","views","published_at"
"Entenda o que propõe a PEC do fim da escala 6x1 | CNN NOVO DIA","CNN Brasil","https://www.youtube.com/watch?v=TCvmBdS4n5k","Principal","Fim da escala 6x1: projeto domina redes sociais e pressiona deputados | SBT Brasil (11/11/24) // Fim da escala 6x1: assinaturas necessárias protocolar PEC é atingida | SBT Brasil (13/11/24) // Novidades sobre o fim da escala 6x1! // ANALISANDO AS POLÊMICAS (E MEMES) SOBRE A ESCALA 6X1 | Diva Depressão // O Fim da Escala 6 X 1 // FIM DA ESCALA 6X1: ENTENDA COMO FUNCIONA O MODELO ATUAL E O QUE PODE MUDAR! // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // FIM DA ESCALA DE TRABALHO 6x1: o que está sendo proposto? Como começou o movimento? ESTADÃO EXPLICA // Proposta de fim da escala 6x1 de trabalho causa mobilização nas redes sociais // Fim da escala de 6x1: PEC tem mais de 130 assinaturas | CNN NOVO DIA // Fim da escala 6x1? Veja o que pode mudar na jornada de trabalho // PEC pelo fim da escala 6x1 consegue assinaturas para ser protocolada na Câmara, diz Erika Hilton // Fim da Escala 6x1 e 44h Vai Destruir Algumas Empresas, Odeio 6x1, mas entenda que.... // Como o fim da escala 6x1 pode impactar o mercado de trabalho // NIKOLAS FERREIRA CRITICA PROJETO QUE ACABA COM JORNADA 6X1: ‘PROPOSTA FANTASIOSA E CHEIA DE ERROS’ // Erika Hilton espera ter apoio do governo para fim da escala 6x1 | LINHA DE FRENTE // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // Vida Além do Trabalho: fim da escala 6x1 começou com debate da Constituição | Carlos Juliano Barros // Escala 6x1: PEC pelo fim da jornada de trabalho 6x1 chega a 134 assinaturas; são necessárias 171 // AS MENTIRAS DE NIKOLAS FERREIRA SOBRE A ESCALA 6x1 // URGENTE: A Escala 6x1 vai acabar? // O FIM DA ESCALA 6X1 EXPLICADO // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // NEGARAM O FIM DA ESCALA 6X1!!? #clt #meme #memes #engraçado // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // ESSA É A VERDADE SOBRE O FIM DA ESCALA 6X1 // Entenda a PEC que propõe o fim da escala 6x1 // Fim da escala 6x1: PEC atinge assinaturas necessárias | Chega Mais Notícias (13/11/24) // Escala 6x1: Com PEC, PSOL sai das cordas e consegue emplacar pauta antissistema, diz Josias de Souza // Fim da escala 6x1 | Parte 1 // Por que a proposta do fim da escala 6x1 é a 4x3? // PEC da escala 6x1: Deputada Erika Hilton explica proposta em entrevista exclusiva | SBT News // Proposta do fim da escala 6x1 recebe apoio popular // A PEC do fim da ESCALA 6X1 vai ARRUINAR sua vida // ESCALA 6X1 Saiba o que já está em vigor! // FIM DA ESCALA 6X1: ENTENDA A DISCUSSÃO! // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // Fim da escala 6x1 | Entenda agora // O fim da Escala 6x1: Como essa mudança afeta Pequenos Empresários e Trabalhadores // FIM DA ESCALA 6X1 NOS CONCURSOS PÚBLICOS. O que muda na prática? // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // PEC da escala 6x1: Nikolas Ferreira diz que proposta é &quot;terrivelmente elaborado&quot; l O POVO NEWS // PROPOSTA sobre o FIM da ESCALA 6X1 // ESCALA 6X1: PEC QUE QUER REDUZIR JORNADA DE TRABALHO CONSEGUE ASSINATURAS PARA SER PROTOCOLADO // COMO O FIM DA ESCALA 6X1 PODE IMPACTAR EMPRESAS E TRABALHADORES? #FN // O FIM DA ESCALA 6X1 (ninguém quer trabalhar😢) // Fim da escala 6x1: Proposta se aproxima de 150 assinaturas | O POVO NEWS // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // Leo Picon volta a se pronunciar após polêmica da escala 6x1 // PEC do fim da escala 6x1 é uma farsa // FIM DA ESCALA 6X1 ! // FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // ESCALA 6x1: INTERNET VIRALIZA VÍDEO DE FELICIANO E MONARK QUE PARECE COISA DO SÉCULO 19 | Cortes 247 // ENTENDA A POLÊMICA SOBRE A PROPOSTA DO FIM DA ESCALA 6X1 // O POVO FALA: FIM DA ESCALA 6X1, QUAL A OPINIÃO DO TRABALHADOR? // ESCALA 6X1: A VERDADE QUE NINGÉM TE CONTA // FIM DA ESCALA 6X1 COM REDUÇÃO DE JORNADA DE TRABALHO - APROVAÇÃO PELOS DEPUTADOS FIM DA ESCALA 6X1 // PEC do Fim da Escala 6x1: O Que Muda para os Trabalhadores? // Escala 6x1 - o que não te contaram // O QUE NÃO TE CONTAM SOBRE O FIM DA ESCALA 6X1? // pec do fim da escala 6x1: será que funciona? // FIM DA ESCALA 6x1: por que esse tipo de trabalho tem que acabar? // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // tem como fazer a ESCALA 6X1 ser MENOS PIOR? // A escala 6x1 vai continuar e não haverá mudanças // Fim da escala 6x1 e o Deputado Marco Feliciano // Marco Feliciano é contra o fim da escala 6x1 // Estou revoltado! com essa escala 6x1 (O início de tudo) // É o fim da escala 6x1? // EU SAI DA ESCALA 6X1 (TROQUEI DE EMPREGO) // O que não te contaram sobre o FIM DA ESCALA 6x1 // ","transcriptions.txt","11922","4075","482845","2024-11-12"
"Escala 6x1: quais os próximos passos da proposta que pode mudar esquema de trabalho no Brasil","BBC News Brasil","https://www.youtube.com/watch?v=u9dAlTSdp1c","Principal","VEJA AS MANIFESTAÇÕES PELO FIM DA ESCALA 6X1 EM BRASÍLIA E BELO HORIZONTE // Fim da escala 6x1 e o Deputado Marco Feliciano // ","transcriptions.txt","9519","1343","134670","2024-11-13"
"FIM DA ESCALA 6X1","CORTES - Leon e Nilce [Oficial]","https://www.youtube.com/watch?v=3rkfORmWvnI","Principal","FIM DA ESCALA 6X1: DESMASCARANDO OS ARGUMENTOS DA DIREITA // ESCALA 6X1 E A ROMANTIZAÇÃO DO SOFRIMENTO | Marcos Lacerda, psicólogo // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // REFUTANDO QUEM É CONTRA O FIM DA ESCALA 6X1 | FÁCIL DEMAIS // URGENTE: FIM DA ESCALA 6X1 EXPLICADO ENTENDA DE UMA VEZ POR TODAS // A ESCALA 6X1 VAI ACABAR? // FIM DA ESCALA 6x1: Any Ortiz explica sua posição sobre PEC | Timeline // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // ESCALA 6X1 NÃO É VIDA! PRECISAMOS FALAR SOBRE ISSO // Escala 6x1: A Escravidão dos Tempos Modernos! // O fim da escala 6x1 é uma oportunidade política única (e o governo tá vacilando) // Como SAIR da ESCALA 6X1 para sempre // Estou revoltado! com essa escala 6x1 (O início de tudo) // Escala 6x1 ESCRAVIDÃO moderna! (Jovem fuja disso) // Escala 6X1 #direito #escala6x1 #6x1 #bolsonaro #lula #direita #esquerda #trabalho #trabalhadores // FIM DA ESCALA 6x1 // ESCALA 6X1 | SÓ IDIOTAS E IMBECIS RECLAMAM DISSO // ","transcriptions.txt","52165","3229","492663","2024-11-22"
"Fim da escala 6x1: projeto domina redes sociais e pressiona deputados | SBT Brasil (11/11/24)","SBT News","https://www.youtube.com/watch?v=2UkKN8YZA7I","Principal","Entenda o que propõe a PEC do fim da escala 6x1 | CNN NOVO DIA // Fim da escala 6x1: assinaturas necessárias protocolar PEC é atingida | SBT Brasil (13/11/24) // 6x1: entenda o projeto que pede o fim da escala 6x1 | Leonardo Sakamoto // FIM DA ESCALA 6X1: ENTENDA COMO FUNCIONA O MODELO ATUAL E O QUE PODE MUDAR! // ninguém aguenta mais a ESCALA 6x1 // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // Fim da escala 6x1: Ministro do Trabalho diz que governo federal é favorável | SBT Brasil (14/11/24) // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // Debates acalorados na Camara sobre a escala 6x1 // Proposta de fim da escala 6x1 de trabalho causa mobilização nas redes sociais // Fim da escala 6x1? Veja o que pode mudar na jornada de trabalho // Escala 6x1: debate sobre jornada de trabalho movimenta Congresso e redes sociais // PROJETO DE FIM DA ESCALA 6X1 É IMPULSIONADO PELAS REDES SOCIAIS E PRESSIONA CONGRESSO NACIONAL // 36 horas semanais e 4 dias de trabalho: o que diz PEC do fim da escala 6x1 // Como o fim da escala 6x1 pode impactar o mercado de trabalho // FIM DA ESCALA 6X1:  É POSSÍVEL DAR MAIS FOLGA PARA O TRABALHADOR?  | PALAVRA ABERTA // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // PEC contra escala 6x1: atos em apoio à proposta acontecem ao redor do Brasil | SBT Brasil (15/11/24) // PEC contra escala 6x1: atos em apoio à proposta acontecem ao redor do Brasil | SBT Brasil (15/11/24) // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // FIM DA ESCALA 6X1 FUNCIONARIA NO BRASIL? // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // Argumentos contra o fim da escala 6x1 repetem falas já usadas // PEC da escala 6x1: Deputada Erika Hilton explica proposta em entrevista exclusiva | SBT News // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // O que é a PEC da escala 6x1 // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // Vereador eleito no Rio com proposta contra escala 6x1 celebra repercussão: ‘Sonhei com esse dia’ // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // Escala 6x1: Brasil está entre os países com jornada mais excessiva, diz advogada trabalhista // COMO O FIM DA ESCALA 6X1 PODE IMPACTAR EMPRESAS E TRABALHADORES? #FN // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // PEC do fim da escala 6x1 é uma farsa // FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // ENTENDA A POLÊMICA SOBRE A PROPOSTA DO FIM DA ESCALA 6X1 // Fim da escala 6x1: Entenda projeto apresentado por Erika Hilton que agita redes sociais |O POVO NEWS // PEC do Fim da Escala 6x1: O Que Muda para os Trabalhadores? // Afinal, o que é a Escala 6x1 ? #noticias #direitotrabalho #escala6x1 #6x1 #pec  #direitotrabalhador // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // tem como fazer a ESCALA 6X1 ser MENOS PIOR? // O FIM DA ESCALA 6X1 É UMA UTOPIA NO BRASIL! // Escala 6x1 // Fim da escala 6x1 e o Deputado Marco Feliciano // Marco Feliciano é contra o fim da escala 6x1 // É o fim da escala 6x1? // Fim da escala 6x1! Trabalhadores unidos! // O que não te contaram sobre o FIM DA ESCALA 6x1 // Desabafo de um jovem trabalhador na escala 6x1 // Fim da escala 6x1 #escala6x1 // #noticias #escala #6x1 #pec #constituicaofederal #fim // Fim da escala 6x1 // ","transcriptions.txt","16489","4651","546705","2024-11-11"
"A PEC do FIM da ESCALA 6x1!","Kim Kataguiri","https://www.youtube.com/watch?v=mTu2ix5sZdw","Principal","Fim da escala 6x1: assinaturas necessárias protocolar PEC é atingida | SBT Brasil (13/11/24) // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // Fim da escala 6x1: Ministro do Trabalho diz que governo federal é favorável | SBT Brasil (14/11/24) // PEC pelo fim da escala 6x1 consegue assinaturas para ser protocolada na Câmara, diz Erika Hilton // PROJETO DE FIM DA ESCALA 6X1 É IMPULSIONADO PELAS REDES SOCIAIS E PRESSIONA CONGRESSO NACIONAL // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // PEC contra escala 6x1: atos em apoio à proposta acontecem ao redor do Brasil | SBT Brasil (15/11/24) // FIM DA ESCALA 6X1 FUNCIONARIA NO BRASIL? // ESSA É A VERDADE SOBRE O FIM DA ESCALA 6X1 // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // Fim da escala 6x1 virou tema &#39;incontornável&#39; no Congresso após pressão da sociedade, diz Boulos // Fim da escala 6x1 | Parte 1 // FIM DA ESCALA 6x1: Any Ortiz explica sua posição sobre PEC | Timeline // 🟡🔵 TRABALHO ESCALA 6x1. FEZ UM ESTRAGO NA MINHA VIDA // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // Fim da escala 6x1 | Entenda agora // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // PEC do fim da escala 6x1 é uma farsa // ESCALA 6X1 NÃO É VIDA! PRECISAMOS FALAR SOBRE ISSO // Escala 6x1: Centrão tenta derrubar ofensiva pelo fim do modelo com &#39;PEC do Ganho por Hora&#39; | Matais // Fim da escala 6x1: Entenda projeto apresentado por Erika Hilton que agita redes sociais |O POVO NEWS // O fim da escala 6x1 é urgente! // TREZOITAO É A FAVOR DA ESCALA 6X1? // Escala 6x1 // Escala 6x1 em discussão na Câmara: Como a esquerda vai desempregar ainda mais brasileiros. // Fim da escala 6x1 e o Deputado Marco Feliciano // Escala 6X1 #direito #escala6x1 #6x1 #bolsonaro #lula #direita #esquerda #trabalho #trabalhadores // Desabafo de um jovem trabalhador na escala 6x1 // ","transcriptions.txt","35986","5190","335610","2024-11-12"
"Fim da escala 6x1: assinaturas necessárias protocolar PEC é atingida | SBT Brasil (13/11/24)","SBT News","https://www.youtube.com/watch?v=DvlfPod4DxQ","Principal","Entenda o que propõe a PEC do fim da escala 6x1 | CNN NOVO DIA // Fim da escala 6x1: projeto domina redes sociais e pressiona deputados | SBT Brasil (11/11/24) // A PEC do FIM da ESCALA 6x1! // 6x1: entenda o projeto que pede o fim da escala 6x1 | Leonardo Sakamoto // FIM DA ESCALA 6X1: ENTENDA COMO FUNCIONA O MODELO ATUAL E O QUE PODE MUDAR! // ninguém aguenta mais a ESCALA 6x1 // Fim da escala 6x1: Ministro do Trabalho diz que governo federal é favorável | SBT Brasil (14/11/24) // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // Fim da escala 6x1? Veja o que pode mudar na jornada de trabalho // PEC pelo fim da escala 6x1 consegue assinaturas para ser protocolada na Câmara, diz Erika Hilton // Pressão pelo fim da escala 6x1 faz número de deputados a favor crescerem // PROJETO DE FIM DA ESCALA 6X1 É IMPULSIONADO PELAS REDES SOCIAIS E PRESSIONA CONGRESSO NACIONAL // Como o fim da escala 6x1 pode impactar o mercado de trabalho // FIM DA ESCALA 6X1:  É POSSÍVEL DAR MAIS FOLGA PARA O TRABALHADOR?  | PALAVRA ABERTA // Erika Hilton espera ter apoio do governo para fim da escala 6x1 | LINHA DE FRENTE // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // PEC contra escala 6x1: atos em apoio à proposta acontecem ao redor do Brasil | SBT Brasil (15/11/24) // Escala 6x1: PEC pelo fim da jornada de trabalho 6x1 chega a 134 assinaturas; são necessárias 171 // AS MENTIRAS DE NIKOLAS FERREIRA SOBRE A ESCALA 6x1 // PEC contra escala 6x1: atos em apoio à proposta acontecem ao redor do Brasil | SBT Brasil (15/11/24) // Debate sobre escala 6X1 reorganizou a classe trabalhadora, diz autora da PEC | CNN 360º // FIM DA ESCALA 6X1 FUNCIONARIA NO BRASIL? // PEC que proíbe escala 6x1 consegue 171 assinaturas | LIVE CNN // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // PEC da escala 6x1: Nikolas Ferreira é cobrado por não assinar texto // Fim da escala 6x1: PEC atinge assinaturas necessárias | Chega Mais Notícias (13/11/24) // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // O que é a PEC da escala 6x1 // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // Kim Kataguiri fala de escala 6x1 e governo Lula // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // PEC da escala 6x1: Nikolas Ferreira diz que proposta é &quot;terrivelmente elaborado&quot; l O POVO NEWS // PROPOSTA sobre o FIM da ESCALA 6X1 // ESCALA 6X1: PEC QUE QUER REDUZIR JORNADA DE TRABALHO CONSEGUE ASSINATURAS PARA SER PROTOCOLADO // COMO O FIM DA ESCALA 6X1 PODE IMPACTAR EMPRESAS E TRABALHADORES? #FN // O FIM DA ESCALA 6X1 (ninguém quer trabalhar😢) // PEC que prevê fim da escala 6x1 ainda precisa de assinaturas e agita a Câmara dos Deputados // FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // Proibir a escala 6x1: estão te enganando! // ENTENDA A POLÊMICA SOBRE A PROPOSTA DO FIM DA ESCALA 6X1 // PEC de Erika Hilton (PSOL/SP) pelo fim da escala 6x1 avança; pressão sobre deputados é fundamental // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // TREZOITAO É A FAVOR DA ESCALA 6X1? // O FIM DA ESCALA 6X1 É UMA UTOPIA NO BRASIL! // Fim da escala 6x1 // Escala 6x1 // Escala 6x1 em discussão na Câmara: Como a esquerda vai desempregar ainda mais brasileiros. // Fim da escala 6x1 e o Deputado Marco Feliciano // Fim da escala 6x1 // ","transcriptions.txt","2425","850","105606","2024-11-13"
"Escala 6x1. Exploração ou vadiagem?","Murilo Couto","https://www.youtube.com/watch?v=e0ml7xcHFqA","Principal","Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // O Fim da Escala 6x1 vai Quebrar a Economia do Brasil // FIM DA ESCALA 6X1:  É POSSÍVEL DAR MAIS FOLGA PARA O TRABALHADOR?  | PALAVRA ABERTA // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // FIM DA ESCALA 6X1 FUNCIONARIA NO BRASIL? // TRABALHADOR EXAUSTO FAZ DESABAFO SOBRE ESCALA 6X1 // FIM DA ESCALA 6X1: ENTENDA A DISCUSSÃO! // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // ESCALA 6X1 e fim do concurso de CARREIRA! Concurso CLT agora! // FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // A ESCALA 6x1 TEM QUE ACABAR - MURILO REAGE (Cortes da Live do Suco de Brasil) // FIM DA ESCALA 6X1: ENTENDA A PROPOSTA ABSURDA QUE PODE DESTRUIR O BRASIL! // DESABAFO DA ESCALA 6X1 // Escala 6x1 em discussão na Câmara: Como a esquerda vai desempregar ainda mais brasileiros. // Cleitinho confronta aliados e quer Fim da Escala 6x1- Nikolas Ferreira rebate críticas // Fim da escala 6x1 e o Deputado Marco Feliciano // VOCÊ É CONTRA A ESCALA 6x1? 🤔 #shorts #short #escala6x1 #escala6x1não #6x1 #clt  #trabalho #viral // Escala 6x1 tem que acabar, os piores argumentos. // DESABAFO ESCALA 6X1: A REALIDADE DOS TRABALHADORES BRASILEIROS! | REACT. Luideverso // ","transcriptions.txt","32106","1713","362665","2024-11-18"
"6x1: entenda o projeto que pede o fim da escala 6x1 | Leonardo Sakamoto","UOL","https://www.youtube.com/watch?v=RUEk-6Rptx0","Principal","Fim da escala 6x1: projeto domina redes sociais e pressiona deputados | SBT Brasil (11/11/24) // Fim da escala 6x1: assinaturas necessárias protocolar PEC é atingida | SBT Brasil (13/11/24) // FIM DA ESCALA 6X1: ENTENDA COMO FUNCIONA O MODELO ATUAL E O QUE PODE MUDAR! // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // O Fim da Escala 6x1 vai Quebrar a Economia do Brasil // FIM DA ESCALA DE TRABALHO 6x1: o que está sendo proposto? Como começou o movimento? ESTADÃO EXPLICA // Fim da escala de 6x1: PEC tem mais de 130 assinaturas | CNN NOVO DIA // Fim da escala 6x1? Veja o que pode mudar na jornada de trabalho // 36 horas semanais e 4 dias de trabalho: o que diz PEC do fim da escala 6x1 // Como o fim da escala 6x1 pode impactar o mercado de trabalho // FIM DA ESCALA 6X1:  É POSSÍVEL DAR MAIS FOLGA PARA O TRABALHADOR?  | PALAVRA ABERTA // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // Escala 6x1: PEC pelo fim da jornada de trabalho 6x1 chega a 134 assinaturas; são necessárias 171 // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // FIM DA ESCALA 6X1 FUNCIONARIA NO BRASIL? // ESSA É A VERDADE SOBRE O FIM DA ESCALA 6X1 // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // A ESCALA 6X1 VAI ACABAR? // Entenda a PEC que propõe o fim da escala 6x1 // Fim da escala 6x1: PEC atinge assinaturas necessárias | Chega Mais Notícias (13/11/24) // O FIM DA JORNADA 6x1... TUDO O QUE VOCÊ PRECISA SABER! // Escala 6x1 e os impactos na vida do trabalhador brasileiro | Papo Rápido | GNT // Fim da escala 6x1 | Parte 1 // Argumentos contra o fim da escala 6x1 repetem falas já usadas // 🚨ALERTA: FIM DA ESCALA 6x1 COLOCARÁ EM XEQUE OS EMPREGOS NO BRASIL? // FIM DA ESCALA 6x1: Any Ortiz explica sua posição sobre PEC | Timeline // PEC contra escala 6x1 pode não conseguir 4x3, mas abre caminho para o 5x2 | Leonardo Sakamoto // FIM DA ESCALA 6X1: ENTENDA A DISCUSSÃO! // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // JAMAIS TRABALHE NA ESCALA 6x1 // O que é a PEC da escala 6x1 // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // Fim da escala 6x1 | Entenda agora // Vereador eleito no Rio com proposta contra escala 6x1 celebra repercussão: ‘Sonhei com esse dia’ // Alexandre Garcia: PEC que acaba com escala de trabalho 6x1 é burra // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // Escala 6x1: Brasil está entre os países com jornada mais excessiva, diz advogada trabalhista // COMO O FIM DA ESCALA 6X1 PODE IMPACTAR EMPRESAS E TRABALHADORES? #FN // O FIM DA ESCALA 6X1 (ninguém quer trabalhar😢) // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // Escala 6x1 - O Jovem quer SABER!!! // PEC do fim da escala 6x1 é uma farsa // FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // NANDO MOURA CONTRA A ESCALA 6X1 // Escala 6x1: eu sou contra! // ESCALA 6X1 NÃO É VIDA! PRECISAMOS FALAR SOBRE ISSO // O fim da escala 6x1 é uma oportunidade política única (e o governo tá vacilando) // Afinal, o que é a Escala 6x1 ? #noticias #direitotrabalho #escala6x1 #6x1 #pec  #direitotrabalhador // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // tem como fazer a ESCALA 6X1 ser MENOS PIOR? // 5 RISCOS da ESCALA 6x1 | DANDO O FURO // TREZOITAO É A FAVOR DA ESCALA 6X1? // A escala 6x1 vai continuar e não haverá mudanças // Fim da escala 6x1 e o Deputado Marco Feliciano // Marco Feliciano é contra o fim da escala 6x1 // É o fim da escala 6x1? // Escala 6x1 #shorts  #camaçari #6x1 #Escala6x1 // Fim da escala 6x1! Trabalhadores unidos! // Escala 6x1 ESCRAVIDÃO moderna! (Jovem fuja disso) // O QUE RENAN ACHA DA ESCALA 6X1 ?? // O que não te contaram sobre o FIM DA ESCALA 6x1 // Desabafo de um jovem trabalhador na escala 6x1 // Fim da escala 6x1 #escala6x1 // Fim da escala 6x1 // ","transcriptions.txt","1824","488","56320","2024-11-11"
"FIM DA ESCALA 6X1: DESMASCARANDO OS ARGUMENTOS DA DIREITA","Ian Neves","https://www.youtube.com/watch?v=8foVMFpcfX0","Principal","FIM DA ESCALA 6X1 // Fim da escala 6x1? PEC propõe diminuição da jornada de trabalho // PÂNICO ANALISA NOVOS DETALHES SOBRE A POLÊMICA ESCALA 6X1 E DEBATE AO VIVO! // ","transcriptions.txt","35874","2418","311386","2024-11-15"
"5 Provas que a Escala 6x1 é melhor que a 4x3","5 Alguma Coisa","https://www.youtube.com/watch?v=Dav-inLWFLA","Principal","Gil do Vigor detona quem é contra fim da escala 6x1: &#39;Trabalhador mais descansado é mais produtivo&#39; // URGENTE: FIM DA ESCALA 6X1 EXPLICADO ENTENDA DE UMA VEZ POR TODAS // FIM DA ESCALA 6X1 (COM ESTUDOS) • Física e Afins // URGENTE: A Escala 6x1 vai acabar? // Empresário: Como o fim da escala 6x1, negócios vão fechar | CNN 360° // FIM DA ESCALA 6X1: Katia começa a trabalhar no Supermercado e já se mete em confusão: CLT // A ESCALA 6X1 VAI ACABAR? // Fim da escala 6x1 | Parte 1 // ESPOSA DE DEYVERSON OPINA SOBRE ESCALA 6X1: ‘SERÁ QUE A CULPA É DO SEU CHEFE?’ // Fim da escala 6x1 | Entenda agora // Humanizei a Escala 6x1 #shorts // CLEITINHO E JORGE SEIF DISCUTEM SOBRE ESCALA 6X1 NO SENADO // PEC do fim da escala 6x1 é uma farsa // ESCALA 6x1: Será o fim desse modelo de trabalho? // Escala 6x1: eu sou contra! // Escala 6x1: A Escravidão dos Tempos Modernos! // FIM DA ESCALA 6x1: por que esse tipo de trabalho tem que acabar? // Afinal, o que é a Escala 6x1 ? #noticias #direitotrabalho #escala6x1 #6x1 #pec  #direitotrabalhador // FIM DA ESCALA 6x1 #hamletpng #shorts // FIM DA ESCALA 6X1: ENTENDA A PROPOSTA ABSURDA QUE PODE DESTRUIR O BRASIL! // 5 RISCOS da ESCALA 6x1 | DANDO O FURO // CEROL DAR SUA OPINIÃO SOBRE A ESCALA 6X1 // FIM DA ESCALA 6X1 // A escala 6x1 vai continuar e não haverá mudanças // ESCALA 6x1 #shorts // A Escala 6x1 não é sua Verdadeira Inimiga // A escala 6x1 tem que acabar no BOSTIL! // VOCÊ É CONTRA A ESCALA 6x1? 🤔 #shorts #short #escala6x1 #escala6x1não #6x1 #clt  #trabalho #viral // Estou revoltado! com essa escala 6x1 (O início de tudo) // Escala 6x1 tem que acabar, os piores argumentos. // Escala 6x1 voce concorda? #6x1 #escala5x2 #clt #trabalho // Escala 6x1 ESCRAVIDÃO moderna! (Jovem fuja disso) // FIM DA ESCALA 6X1 #6x1 #escala6x1 #clt // Escala 6x1 - Parte 1  #humor #cenas #comedia #6x1 #escala6x1 // Escala 6X1 #direito #escala6x1 #6x1 #bolsonaro #lula #direita #esquerda #trabalho #trabalhadores // FIM DA ESCALA 6x1 // Escala 6X1 😰#6x1 // Escala 6x1.   #6x1 #clt // #noticias #escala #6x1 #pec #constituicaofederal #fim // ","transcriptions.txt","35942","1706","253475","2024-11-18"
