Source,Target,Type
1,4,Undirected
1,6,Undirected
1,12,Undirected
1,15,Undirected
1,16,Undirected
1,20,Undirected
1,23,Undirected
1,34,Undirected
1,39,Undirected
1,41,Undirected
1,42,Undirected
1,43,Undirected
1,59,Undirected
1,62,Undirected
1,65,Undirected
1,66,Undirected
1,70,Undirected
1,72,Undirected
1,76,Undirected
1,77,Undirected
1,91,Undirected
1,92,Undirected
1,103,Undirected
1,109,Undirected
1,110,Undirected
1,113,Undirected
1,127,Undirected
1,128,Undirected
1,136,Undirected
1,138,Undirected
1,141,Undirected
1,146,Undirected
1,154,Undirected
1,165,Undirected
1,173,Undirected
1,174,Undirected
1,175,Undirected
1,181,Undirected
1,182,Undirected
1,183,Undirected
1,184,Undirected
1,185,Undirected
1,197,Undirected
1,202,Undirected
1,212,Undirected
1,223,Undirected
1,225,Undirected
1,228,Undirected
1,233,Undirected
1,235,Undirected
1,242,Undirected
1,249,Undirected
1,252,Undirected
1,258,Undirected
1,263,Undirected
1,271,Undirected
1,275,Undirected
1,292,Undirected
1,299,Undirected
1,303,Undirected
1,311,Undirected
1,315,Undirected
1,318,Undirected
1,322,Undirected
1,324,Undirected
1,330,Undirected
1,377,Undirected
1,405,Undirected
1,417,Undirected
1,419,Undirected
1,421,Undirected
1,443,Undirected
1,473,Undirected
2,229,Undirected
2,405,Undirected
397,9,Undirected
397,13,Undirected
397,23,Undirected
397,50,Undirected
397,81,Undirected
397,124,Undirected
397,157,Undirected
397,175,Undirected
397,278,Undirected
397,288,Undirected
397,312,Undirected
397,334,Undirected
397,419,Undirected
397,439,Undirected
397,457,Undirected
397,459,Undirected
397,462,Undirected
4,1,Undirected
4,6,Undirected
4,8,Undirected
4,20,Undirected
4,21,Undirected
4,23,Undirected
4,28,Undirected
4,110,Undirected
4,38,Undirected
4,39,Undirected
4,42,Undirected
4,45,Undirected
4,54,Undirected
4,61,Undirected
4,62,Undirected
4,63,Undirected
4,70,Undirected
4,82,Undirected
4,82,Undirected
4,103,Undirected
4,105,Undirected
4,115,Undirected
4,140,Undirected
4,146,Undirected
4,175,Undirected
4,180,Undirected
4,181,Undirected
4,182,Undirected
4,187,Undirected
4,197,Undirected
4,198,Undirected
4,200,Undirected
4,225,Undirected
4,235,Undirected
4,249,Undirected
4,258,Undirected
4,271,Undirected
4,290,Undirected
4,303,Undirected
4,323,Undirected
4,324,Undirected
4,330,Undirected
4,356,Undirected
4,476,Undirected
4,405,Undirected
4,417,Undirected
4,421,Undirected
4,438,Undirected
4,473,Undirected
4,474,Undirected
4,479,Undirected
4,486,Undirected
4,492,Undirected
5,6,Undirected
5,23,Undirected
5,28,Undirected
5,43,Undirected
5,54,Undirected
5,70,Undirected
5,82,Undirected
5,105,Undirected
5,113,Undirected
5,115,Undirected
5,130,Undirected
5,138,Undirected
5,157,Undirected
5,166,Undirected
5,182,Undirected
5,183,Undirected
5,197,Undirected
5,198,Undirected
5,249,Undirected
5,278,Undirected
5,280,Undirected
5,290,Undirected
5,345,Undirected
5,349,Undirected
5,476,Undirected
5,402,Undirected
5,405,Undirected
5,457,Undirected
5,474,Undirected
6,1,Undirected
6,4,Undirected
6,5,Undirected
6,8,Undirected
6,20,Undirected
6,21,Undirected
6,28,Undirected
6,110,Undirected
6,42,Undirected
6,43,Undirected
6,44,Undirected
6,54,Undirected
6,62,Undirected
6,63,Undirected
6,66,Undirected
6,70,Undirected
6,82,Undirected
6,76,Undirected
6,77,Undirected
6,82,Undirected
6,89,Undirected
6,105,Undirected
6,107,Undirected
6,115,Undirected
6,125,Undirected
6,128,Undirected
6,175,Undirected
6,180,Undirected
6,182,Undirected
6,194,Undirected
6,197,Undirected
6,198,Undirected
6,202,Undirected
6,212,Undirected
6,223,Undirected
6,225,Undirected
6,228,Undirected
6,241,Undirected
6,258,Undirected
6,262,Undirected
6,271,Undirected
6,285,Undirected
6,324,Undirected
6,349,Undirected
6,356,Undirected
6,492,Undirected
6,476,Undirected
6,402,Undirected
6,405,Undirected
6,492,Undirected
7,23,Undirected
7,24,Undirected
7,63,Undirected
7,70,Undirected
7,105,Undirected
7,123,Undirected
7,174,Undirected
7,182,Undirected
7,197,Undirected
7,198,Undirected
7,231,Undirected
7,258,Undirected
7,314,Undirected
7,340,Undirected
7,367,Undirected
7,402,Undirected
7,404,Undirected
7,405,Undirected
7,418,Undirected
7,431,Undirected
7,433,Undirected
8,4,Undirected
8,6,Undirected
8,20,Undirected
8,23,Undirected
8,24,Undirected
8,34,Undirected
8,41,Undirected
8,42,Undirected
8,61,Undirected
8,62,Undirected
8,63,Undirected
8,70,Undirected
8,76,Undirected
8,103,Undirected
8,105,Undirected
8,113,Undirected
8,115,Undirected
8,124,Undirected
8,127,Undirected
8,128,Undirected
8,134,Undirected
8,135,Undirected
8,138,Undirected
8,140,Undirected
8,150,Undirected
8,157,Undirected
8,168,Undirected
8,174,Undirected
8,175,Undirected
8,179,Undirected
8,180,Undirected
8,181,Undirected
8,182,Undirected
8,183,Undirected
8,187,Undirected
8,189,Undirected
8,197,Undirected
8,198,Undirected
8,200,Undirected
8,225,Undirected
8,228,Undirected
8,235,Undirected
8,245,Undirected
8,249,Undirected
8,258,Undirected
8,270,Undirected
8,277,Undirected
8,278,Undirected
8,312,Undirected
8,323,Undirected
8,324,Undirected
8,330,Undirected
8,348,Undirected
8,349,Undirected
8,377,Undirected
8,405,Undirected
8,417,Undirected
8,421,Undirected
8,425,Undirected
8,438,Undirected
8,439,Undirected
8,450,Undirected
8,473,Undirected
8,474,Undirected
8,479,Undirected
8,492,Undirected
9,397,Undirected
9,192,Undirected
9,207,Undirected
10,52,Undirected
10,81,Undirected
10,86,Undirected
10,91,Undirected
10,97,Undirected
10,116,Undirected
10,124,Undirected
10,138,Undirected
10,160,Undirected
10,183,Undirected
10,196,Undirected
10,205,Undirected
10,249,Undirected
10,267,Undirected
10,277,Undirected
10,288,Undirected
10,322,Undirected
10,323,Undirected
10,329,Undirected
10,340,Undirected
10,348,Undirected
10,362,Undirected
10,397,Undirected
10,377,Undirected
10,386,Undirected
10,398,Undirected
10,409,Undirected
10,418,Undirected
10,419,Undirected
10,431,Undirected
10,436,Undirected
10,439,Undirected
10,440,Undirected
10,444,Undirected
10,457,Undirected
10,459,Undirected
10,481,Undirected
10,484,Undirected
10,486,Undirected
11,24,Undirected
11,70,Undirected
11,92,Undirected
11,141,Undirected
11,184,Undirected
11,185,Undirected
11,194,Undirected
11,198,Undirected
11,258,Undirected
11,261,Undirected
11,263,Undirected
11,331,Undirected
11,402,Undirected
11,404,Undirected
11,406,Undirected
11,459,Undirected
11,433,Undirected
12,1,Undirected
12,20,Undirected
12,72,Undirected
12,76,Undirected
12,107,Undirected
12,136,Undirected
12,177,Undirected
12,193,Undirected
12,202,Undirected
12,212,Undirected
12,223,Undirected
12,233,Undirected
12,258,Undirected
12,275,Undirected
12,324,Undirected
13,397,Undirected
13,81,Undirected
13,135,Undirected
13,174,Undirected
13,207,Undirected
13,260,Undirected
13,340,Undirected
13,357,Undirected
13,398,Undirected
13,419,Undirected
13,439,Undirected
13,453,Undirected
13,459,Undirected
15,1,Undirected
15,62,Undirected
15,76,Undirected
15,77,Undirected
15,86,Undirected
15,91,Undirected
15,103,Undirected
15,109,Undirected
15,116,Undirected
15,165,Undirected
15,174,Undirected
15,175,Undirected
15,184,Undirected
15,197,Undirected
15,225,Undirected
15,242,Undirected
15,246,Undirected
15,249,Undirected
15,270,Undirected
15,277,Undirected
15,288,Undirected
15,311,Undirected
15,315,Undirected
15,322,Undirected
15,330,Undirected
15,335,Undirected
15,340,Undirected
15,348,Undirected
15,397,Undirected
15,371,Undirected
15,377,Undirected
15,382,Undirected
15,390,Undirected
15,398,Undirected
15,405,Undirected
15,418,Undirected
15,421,Undirected
15,431,Undirected
15,436,Undirected
15,440,Undirected
15,453,Undirected
16,1,Undirected
16,23,Undirected
16,24,Undirected
16,30,Undirected
16,34,Undirected
16,35,Undirected
16,36,Undirected
16,41,Undirected
16,59,Undirected
16,70,Undirected
16,88,Undirected
16,91,Undirected
16,92,Undirected
16,110,Undirected
16,123,Undirected
16,129,Undirected
16,131,Undirected
16,134,Undirected
16,138,Undirected
16,141,Undirected
16,151,Undirected
16,162,Undirected
16,166,Undirected
16,173,Undirected
16,174,Undirected
16,175,Undirected
16,183,Undirected
16,184,Undirected
16,185,Undirected
16,198,Undirected
16,204,Undirected
16,208,Undirected
16,231,Undirected
16,234,Undirected
16,235,Undirected
16,244,Undirected
16,249,Undirected
16,250,Undirected
16,258,Undirected
16,270,Undirected
16,276,Undirected
16,288,Undirected
16,292,Undirected
16,298,Undirected
16,299,Undirected
16,306,Undirected
16,314,Undirected
16,319,Undirected
16,322,Undirected
16,325,Undirected
